gpa,internships,projects,certifications,soft_skills_score,networking_score,career_readiness
7.12,0,4,4,6.88,4.16,1
8.96,2,5,2,3.64,6.28,1
6.39,1,3,3,6.53,3.35,1
6.61,2,0,1,3.59,3.41,0
8.14,0,2,2,6.92,6.0,1
7.11,2,5,2,7.95,7.35,1
7.49,0,3,2,6.95,5.01,1
7.34,1,5,2,5.15,9.65,1
7.84,0,2,1,6.63,4.31,0
8.91,4,3,1,2.43,6.36,1
7.59,0,5,5,1.98,5.68,1
8.14,3,4,1,6.43,4.31,1
5.45,3,2,3,8.12,7.62,1
7.45,1,0,4,3.04,3.22,0
6.66,1,5,2,5.53,1.0,1
6.28,1,4,2,6.38,4.75,1
6.62,4,2,0,4.27,4.49,1
7.17,2,3,3,4.82,7.13,1
8.42,1,1,4,6.73,2.5,1
6.17,0,2,5,5.72,6.05,1
7.53,3,1,1,5.73,5.81,1
7.02,0,1,4,3.54,5.65,0
7.17,0,5,1,5.44,7.09,1
8.5,0,2,2,4.7,4.95,0
8.04,1,4,1,4.81,5.1,1
8.84,3,3,1,4.42,5.9,1
7.35,2,0,2,5.45,4.8,0
6.8,0,2,2,3.76,2.29,0
7.28,1,1,5,5.52,4.18,1
7.74,2,4,1,4.77,4.48,1
7.68,1,5,4,3.64,3.88,1
6.42,0,4,2,1.6,4.37,0
7.59,1,4,0,7.39,5.36,1
7.73,2,5,1,6.99,4.45,1
10.0,4,4,3,3.89,6.71,2
9.38,2,3,3,6.86,6.74,1
6.65,0,4,0,3.45,1.0,0
7.21,2,2,1,4.89,2.13,0
6.04,0,0,2,4.44,1.0,0
6.91,3,4,2,4.94,4.45,1
7.82,1,4,2,6.79,4.33,1
8.71,0,1,3,4.7,5.3,0
6.77,1,6,1,4.82,6.69,1
6.85,0,0,0,6.99,4.91,0
5.35,0,4,0,5.62,3.79,0
7.34,1,6,4,4.32,4.99,1
6.44,2,2,2,5.98,4.01,1
6.97,3,5,1,7.49,2.05,1
6.62,1,4,3,7.61,6.92,1
7.41,0,4,2,2.85,5.85,0
5.74,1,6,1,2.95,7.9,1
6.03,1,3,0,7.5,2.53,0
9.63,0,3,3,4.92,1.77,1
6.21,3,4,3,1.1,3.13,0
6.4,4,2,1,4.04,5.8,1
9.34,0,2,1,4.62,6.72,1
10.0,2,1,1,4.87,5.57,1
6.33,2,2,2,7.03,5.29,1
7.13,0,4,1,3.64,6.71,0
7.84,2,6,1,7.37,4.08,1
9.23,0,6,1,6.07,7.11,1
6.51,0,1,5,2.93,8.97,0
7.25,4,3,2,4.86,2.87,1
8.28,2,3,1,6.49,4.49,1
7.93,0,1,2,5.58,2.22,0
7.12,1,3,3,6.26,3.07,1
7.37,4,2,4,4.33,5.79,1
6.13,1,6,5,6.61,1.63,1
7.26,3,2,2,4.7,3.44,1
7.23,3,5,2,10.0,7.11,2
7.73,1,5,1,2.86,5.45,1
6.94,2,4,3,10.0,6.54,1
7.97,2,1,2,3.6,2.41,0
8.51,2,2,1,8.04,5.14,1
7.66,1,6,2,7.15,8.77,2
7.85,0,0,1,3.68,3.68,0
7.55,0,1,2,6.7,4.02,0
7.5,2,6,1,4.51,6.16,1
6.78,2,4,1,6.05,3.2,1
7.82,2,4,0,5.8,6.43,1
7.4,1,1,1,4.8,1.41,0
9.59,0,3,0,4.64,1.0,0
9.07,0,5,3,6.18,5.63,1
7.89,2,2,2,3.69,3.04,0
6.74,1,1,2,3.77,3.87,0
6.39,2,0,1,7.41,6.75,0
8.69,0,3,4,6.36,6.25,1
7.76,1,2,4,2.89,2.55,0
7.98,3,5,2,3.49,6.04,1
5.76,0,2,2,1.23,4.4,0
8.43,0,1,3,7.32,5.83,1
7.95,2,6,3,6.88,4.96,1
6.39,1,6,1,3.32,1.99,0
7.03,4,4,2,6.8,3.57,1
7.76,3,5,0,9.47,1.0,1
7.55,2,1,3,2.42,5.37,0
7.21,0,3,2,4.27,5.79,0
7.4,1,1,5,2.38,3.59,0
7.25,3,3,0,7.4,4.77,1
7.65,1,4,2,5.31,3.05,1
8.97,4,5,3,4.7,7.51,2
5.0,2,0,4,5.95,2.43,0
7.26,0,2,4,4.39,4.38,0
7.68,1,6,1,4.7,2.4,1
7.8,2,3,5,6.05,5.47,1
7.13,0,2,5,4.28,7.08,1
5.74,1,2,5,4.56,1.0,0
7.83,2,2,2,5.19,6.31,1
9.23,0,2,3,5.68,8.26,1
5.97,1,2,0,6.7,5.26,0
8.36,2,3,1,6.67,3.65,1
7.17,2,3,0,2.5,4.92,0
7.44,1,3,2,8.32,3.91,1
6.45,4,0,5,5.62,8.93,1
7.17,4,0,2,4.84,6.67,1
8.8,1,2,2,3.69,6.8,1
8.08,0,5,3,9.48,9.31,2
9.23,2,4,2,10.0,7.69,2
8.68,0,1,2,9.23,4.76,1
7.94,3,3,2,5.74,5.05,1
9.24,1,3,2,6.19,9.72,1
7.94,1,3,2,8.48,3.52,1
8.33,1,4,3,5.02,4.66,1
7.2,1,6,2,6.58,2.97,1
7.57,4,1,1,5.95,1.36,1
6.8,0,3,2,9.34,3.24,1
8.49,4,3,4,8.37,3.28,2
6.32,0,3,1,5.22,3.75,0
8.28,2,1,3,8.55,6.22,1
7.31,3,3,2,5.49,4.98,1
8.67,1,0,0,4.41,7.02,0
8.25,0,4,2,4.93,5.3,1
9.32,3,3,1,5.79,5.36,1
8.23,3,2,0,3.93,4.42,1
5.93,1,6,1,4.46,8.89,1
7.43,1,4,3,2.61,4.15,1
6.33,3,3,2,3.86,6.83,1
6.98,0,6,2,5.97,2.64,1
9.01,2,5,2,7.58,4.51,1
8.14,1,1,1,7.33,9.02,1
6.8,0,3,4,6.36,6.37,1
6.49,3,3,4,2.44,2.2,1
7.53,1,3,3,3.78,2.94,0
6.28,4,6,1,5.11,8.2,1
6.83,1,3,4,7.43,5.18,1
7.81,1,0,3,4.39,4.45,0
8.66,1,3,0,3.06,3.44,0
8.11,1,4,1,8.4,4.37,1
5.21,3,2,1,4.03,7.83,0
7.8,2,0,3,3.24,3.6,0
7.57,2,2,2,5.95,3.8,1
7.91,1,4,1,5.4,6.2,1
9.12,0,1,1,4.5,2.92,0
5.44,0,2,2,5.5,3.13,0
6.91,2,1,2,3.65,5.01,0
8.09,1,3,2,4.48,5.06,1
5.92,1,1,1,5.43,3.38,0
8.98,1,1,2,1.43,5.95,0
7.87,1,4,5,7.41,5.44,1
8.35,2,1,0,2.75,1.05,0
6.93,2,1,2,3.62,6.56,0
8.31,4,3,1,7.5,3.86,1
8.57,0,0,1,6.64,6.61,0
7.73,1,0,4,5.67,9.16,1
7.73,0,2,5,2.08,4.87,0
7.77,3,2,1,4.29,3.71,1
6.64,2,3,1,5.07,7.76,1
7.35,1,6,0,5.21,3.32,1
7.35,3,2,2,7.78,8.78,1
7.88,1,3,0,9.49,4.07,1
8.5,0,5,2,6.73,3.75,1
6.44,1,3,0,4.43,9.73,1
7.37,0,4,2,7.93,5.73,1
8.98,3,3,4,4.32,8.24,1
6.76,2,3,0,1.0,4.95,0
6.68,2,6,3,3.0,4.81,1
7.7,3,0,3,1.0,1.0,0
8.34,2,5,0,4.73,7.02,1
7.51,1,3,4,5.14,5.77,1
8.83,0,3,2,2.31,4.78,0
8.36,1,3,2,3.79,6.18,1
8.34,4,2,2,2.65,5.08,1
8.05,4,0,1,5.25,3.11,1
9.83,2,6,0,3.79,5.73,1
7.29,0,3,1,7.52,4.62,1
5.5,0,5,3,5.84,6.48,1
9.1,3,2,4,8.71,4.44,2
7.04,0,2,1,4.59,4.06,0
7.61,1,2,1,9.79,3.91,1
8.81,1,2,0,5.51,3.23,0
5.9,1,3,4,4.44,3.95,0
6.25,2,6,1,10.0,5.86,1
5.9,4,5,4,1.84,3.5,1
6.71,2,3,0,4.39,2.65,0
7.94,1,2,0,2.17,6.58,0
8.02,1,3,1,1.82,4.72,0
7.78,3,3,2,1.37,6.54,1
6.09,1,4,1,6.73,4.56,1
5.19,1,3,4,2.84,3.86,0
7.55,2,0,2,4.99,1.51,0
7.03,0,0,0,7.28,2.74,0
7.96,0,6,2,6.43,3.25,1
8.2,3,4,1,6.33,5.56,1
7.64,2,6,2,7.93,4.78,1
8.26,0,2,3,8.72,2.95,1
7.73,0,3,5,3.0,1.0,0
8.03,4,2,2,6.47,5.93,1
6.8,2,5,1,4.96,6.75,1
7.32,2,2,1,5.21,6.93,1
7.7,0,4,1,2.48,3.07,0
8.32,4,1,2,4.44,7.05,1
7.11,3,1,0,4.65,6.13,0
8.02,1,1,1,8.36,6.12,1
7.23,1,3,5,3.19,3.78,1
7.38,2,5,4,1.0,4.73,1
8.33,3,6,0,5.49,8.66,2
5.51,2,3,5,2.99,8.35,1
6.2,4,3,3,5.22,4.9,1
6.02,2,4,0,6.82,5.38,1
5.17,1,0,4,5.3,1.0,0
6.82,1,4,5,4.64,7.41,1
8.25,3,4,2,5.19,6.49,1
7.22,0,3,3,7.19,5.69,1
7.7,0,0,1,3.19,3.8,0
8.59,2,1,2,6.96,5.13,1
8.83,1,2,3,3.49,7.93,1
7.43,3,6,2,6.7,5.72,2
8.85,0,3,1,2.41,10.0,1
7.59,1,3,2,6.59,6.62,1
6.66,0,3,3,5.3,3.16,0
6.91,2,4,3,5.69,4.18,1
6.02,2,2,0,7.42,3.58,0
6.61,1,1,1,3.86,6.72,0
7.14,1,4,0,5.45,7.31,1
8.3,0,2,2,6.11,8.43,1
9.22,2,2,1,4.9,4.34,1
6.12,4,3,4,6.93,5.94,1
7.89,2,2,2,6.16,7.56,1
6.46,0,5,1,4.34,8.1,1
7.97,2,5,3,8.02,2.54,1
7.37,0,6,1,6.62,6.24,1
5.67,0,6,0,3.81,2.61,0
8.43,0,2,0,3.79,3.8,0
6.89,0,2,2,5.06,2.39,0
6.97,0,4,4,6.39,3.76,1
6.43,2,0,1,1.07,2.1,0
6.85,0,6,3,3.9,2.64,1
7.93,2,0,0,4.35,3.19,0
7.31,4,3,1,2.62,5.61,1
7.83,1,3,2,3.46,5.07,1
7.86,1,5,3,5.77,1.71,1
8.82,2,3,4,4.52,10.0,1
7.16,0,3,2,4.68,4.02,0
6.02,1,2,2,2.74,2.34,0
8.57,1,3,0,5.07,6.17,1
7.17,3,4,1,2.49,4.99,1
8.61,3,3,4,8.42,3.37,1
7.88,3,4,2,8.99,5.78,2
7.37,2,0,1,4.55,3.66,0
7.85,1,2,1,3.26,4.41,0
9.45,3,6,0,7.21,7.93,2
9.58,3,2,3,6.68,5.25,1
7.57,1,3,1,9.25,6.23,1
7.66,4,3,4,9.78,3.96,2
8.58,3,6,2,1.45,5.31,1
6.65,1,1,3,7.82,3.46,0
7.83,0,2,0,5.05,3.37,0
7.47,0,5,0,6.6,4.18,1
7.81,2,3,1,7.06,3.61,1
6.67,0,3,0,6.97,7.08,1
5.91,1,2,5,7.5,6.16,1
5.43,2,2,3,4.38,1.0,0
6.38,3,6,1,3.59,8.45,1
7.04,3,4,2,7.87,6.28,1
7.21,2,5,2,3.76,7.29,1
9.44,1,6,2,9.22,4.66,2
8.61,0,3,0,3.97,2.01,0
6.54,2,3,1,4.74,2.35,0
7.85,0,3,0,5.12,8.41,1
7.09,1,5,4,2.42,1.75,1
7.22,4,3,1,2.42,2.11,1
7.69,1,1,3,7.32,4.13,1
8.12,2,6,4,2.06,2.23,1
7.16,2,3,1,10.0,6.07,1
8.56,3,5,0,5.31,6.22,1
6.36,1,2,1,3.44,5.83,0
7.51,1,3,2,6.34,3.77,1
10.0,0,4,2,1.0,5.58,1
7.72,2,4,0,4.83,8.57,1
8.93,0,0,0,5.09,2.13,0
7.59,1,2,2,2.97,7.23,0
8.08,2,4,3,4.24,6.62,1
7.44,0,6,0,8.55,4.79,1
7.33,1,0,3,5.87,5.33,0
6.72,0,2,1,6.3,5.71,0
7.93,0,3,0,3.93,3.05,0
6.65,0,1,1,2.85,1.74,0
8.17,0,0,3,5.02,6.81,0
8.59,4,3,2,1.0,2.51,1
7.87,4,3,2,3.31,2.81,1
7.21,2,2,1,3.0,3.97,0
7.95,2,2,1,1.42,5.57,0
7.19,2,6,1,6.8,4.0,1
8.44,3,3,1,5.24,3.55,1
5.67,1,4,2,4.26,6.91,1
7.16,0,2,2,6.84,4.33,0
5.51,2,5,0,2.21,3.4,0
6.0,4,4,1,2.81,5.79,1
8.86,0,2,0,7.73,5.12,1
8.4,1,3,2,10.0,5.06,1
6.78,1,4,1,6.87,5.89,1
6.0,1,2,2,6.44,4.73,0
5.0,2,4,0,4.34,6.69,0
6.96,1,2,1,4.38,2.14,0
9.92,4,3,0,5.95,7.48,2
7.93,2,6,0,8.25,3.17,1
6.94,0,1,3,6.35,1.73,0
7.97,3,1,0,7.42,3.42,1
5.94,2,1,0,3.67,4.3,0
7.2,1,6,1,6.73,3.53,1
7.6,1,1,1,4.16,3.07,0
7.41,3,1,4,5.78,7.02,1
8.29,1,4,5,6.73,3.26,1
7.84,0,4,1,4.44,1.0,0
8.17,1,3,1,3.47,4.3,0
6.81,0,6,2,6.23,9.09,1
8.4,2,0,2,5.23,2.87,0
9.13,0,3,2,5.77,3.2,1
6.53,2,3,0,6.81,4.19,1
6.61,1,2,0,8.11,8.09,1
8.84,3,5,0,6.83,4.28,1
7.31,1,3,1,6.56,2.95,1
8.9,4,2,2,4.5,5.73,1
7.06,3,1,4,4.81,5.58,1
8.96,0,1,1,6.41,5.97,1
7.63,2,5,3,4.77,2.88,1
7.76,0,2,1,6.4,3.87,0
9.06,3,5,0,3.87,7.25,1
7.14,2,1,2,9.36,5.82,1
6.56,0,6,1,5.89,6.62,1
7.05,0,5,4,5.76,4.89,1
7.95,1,1,4,4.53,7.11,1
5.93,3,1,0,9.33,5.59,1
8.14,2,4,0,2.99,3.95,1
6.96,0,0,1,4.09,6.49,0
8.65,1,2,4,7.21,3.25,1
5.11,1,4,0,5.98,8.09,1
6.71,1,5,3,4.35,7.02,1
5.81,0,4,1,4.4,4.41,0
6.67,1,5,2,4.92,4.63,1
7.75,3,3,0,5.7,5.26,1
7.32,1,4,3,8.61,4.65,1
7.25,2,2,2,6.71,7.64,1
7.34,1,4,0,7.55,3.92,1
7.7,1,4,1,4.63,1.99,0
6.49,2,3,2,6.53,4.48,1
8.21,0,6,2,2.39,6.51,1
8.16,0,3,3,5.86,7.03,1
7.89,4,3,1,5.74,5.23,1
8.06,3,3,4,9.14,3.73,1
7.8,2,2,0,8.62,4.91,1
9.54,0,2,4,4.98,3.69,1
7.41,0,6,4,3.87,1.0,1
7.19,0,2,2,3.92,3.3,0
6.75,4,4,5,4.91,6.02,1
6.47,3,3,1,8.1,4.46,1
6.26,1,5,2,6.33,4.38,1
6.61,4,4,0,6.54,7.21,1
7.43,0,1,1,7.12,3.07,0
7.83,1,2,2,3.51,3.27,0
7.55,0,4,4,4.08,5.66,1
6.73,1,1,5,6.54,3.58,1
8.4,4,3,2,3.94,3.57,1
8.24,3,2,4,2.45,8.1,1
7.34,0,0,3,3.33,2.86,0
6.85,0,6,3,7.61,3.54,1
8.05,1,5,0,4.75,5.88,1
7.69,0,4,2,5.95,4.9,1
6.05,1,1,2,3.43,2.25,0
7.43,1,6,3,6.26,8.57,1
7.76,0,3,2,4.96,3.41,0
6.6,0,6,3,6.39,4.51,1
7.69,0,0,5,4.54,5.87,0
6.05,4,1,2,6.51,9.32,1
8.84,1,4,3,4.45,4.18,1
8.75,1,5,2,5.34,3.16,1
7.25,1,1,2,4.96,6.0,0
7.86,2,2,2,5.55,9.18,1
5.09,0,3,5,6.06,5.27,0
6.34,0,6,3,4.51,4.43,1
7.21,2,4,3,5.26,5.78,1
6.43,2,5,1,5.87,1.0,1
8.21,0,4,2,6.52,3.77,1
9.5,1,5,4,5.35,1.35,1
6.32,4,3,4,3.73,4.28,1
6.66,0,1,5,5.67,3.97,0
7.74,0,4,3,6.84,1.0,1
9.11,1,3,3,2.83,5.36,1
6.28,0,3,0,2.86,6.24,0
7.75,2,2,3,4.18,4.61,1
9.32,2,4,1,5.12,1.94,1
5.85,1,4,4,1.11,7.53,0
6.22,2,2,0,6.65,8.79,1
7.08,1,5,4,5.13,5.8,1
6.98,2,2,2,1.0,4.29,0
8.31,0,1,0,3.27,4.32,0
7.74,1,1,2,4.9,5.87,0
5.73,2,3,2,1.95,5.18,0
8.02,1,0,3,7.44,5.87,1
6.92,0,4,3,5.87,5.9,1
8.77,1,4,2,6.86,3.52,1
6.87,2,3,0,3.44,3.35,0
6.86,0,5,4,6.32,4.44,1
8.04,2,6,5,4.18,5.94,1
8.26,2,2,3,5.12,1.88,1
7.95,2,1,0,6.21,4.54,1
5.81,0,2,3,5.36,4.93,0
8.04,3,3,1,7.12,4.03,1
6.47,0,2,5,5.78,7.81,1
7.74,3,4,0,4.57,7.46,1
6.08,2,3,0,7.19,5.83,1
7.95,0,3,0,7.61,8.54,1
6.69,2,1,3,5.68,6.76,1
6.22,1,2,2,8.17,5.27,1
8.21,1,2,3,5.03,4.05,1
7.74,1,4,1,5.24,4.21,1
6.89,2,4,4,5.51,5.76,1
8.95,2,3,1,5.24,4.26,1
7.06,3,4,0,4.88,1.97,1
7.53,0,3,3,4.07,4.24,0
7.77,2,0,2,3.51,7.06,0
6.88,2,1,2,5.72,1.0,0
7.97,2,1,1,7.9,7.81,1
6.97,1,0,3,7.13,6.15,0
7.09,1,2,0,6.28,4.53,0
8.86,2,4,2,8.0,5.58,1
6.46,1,1,1,5.54,6.92,0
5.09,0,1,3,3.52,5.07,0
9.11,1,1,1,4.8,6.9,1
10.0,0,2,1,5.38,6.7,1
7.09,0,1,1,4.48,5.35,0
5.56,0,0,2,6.72,2.78,0
7.19,2,2,1,7.37,4.8,1
7.21,4,6,2,2.04,1.0,1
7.31,1,2,1,5.21,5.89,0
6.39,0,1,1,1.0,4.16,0
8.08,3,3,2,5.32,3.77,1
8.02,0,1,1,5.29,6.31,0
6.01,4,3,3,9.05,2.46,1
8.2,1,2,2,8.45,5.22,1
9.55,0,5,3,7.36,4.32,1
7.67,1,5,2,3.58,4.64,1
7.16,1,4,1,3.46,5.57,1
7.36,2,1,1,3.31,8.65,1
8.12,0,3,1,8.55,5.8,1
5.77,3,2,4,3.68,7.72,1
7.66,2,4,0,4.73,7.79,1
7.11,3,0,1,3.7,6.54,0
9.35,3,3,2,2.98,1.31,1
7.33,0,2,2,6.17,4.52,0
9.17,1,3,4,5.81,2.82,1
6.4,3,2,0,1.05,10.0,0
8.09,1,2,4,2.9,2.99,0
7.82,0,4,3,6.01,2.01,1
6.63,0,3,3,5.36,1.0,0
7.68,0,2,1,4.7,2.93,0
8.71,3,0,1,6.71,5.25,1
7.18,1,5,0,2.61,7.17,1
5.81,2,3,3,4.31,2.86,0
7.48,4,3,0,6.54,7.34,1
6.6,0,3,1,4.2,4.87,0
7.16,2,3,1,6.13,4.03,1
7.42,0,3,4,3.21,5.35,0
5.79,0,0,1,3.85,7.84,0
5.88,0,3,1,1.94,5.1,0
7.98,1,3,3,1.39,2.78,0
6.98,1,1,4,4.55,5.85,0
5.0,1,4,3,6.4,5.82,1
8.28,0,2,2,5.27,4.62,0
7.77,0,0,0,7.82,7.04,0
6.79,2,4,0,4.71,1.0,0
6.18,0,5,1,1.26,5.71,0
8.34,3,2,1,6.19,6.57,1
7.85,4,4,1,3.34,2.1,1
9.88,2,0,2,5.75,2.03,1
7.92,1,4,1,1.0,7.0,1
7.89,2,3,3,4.95,7.35,1
7.33,2,4,0,6.91,7.72,1
8.32,4,2,5,6.66,3.61,1
8.13,4,2,3,5.0,5.4,1
8.75,1,5,1,5.4,5.67,1
6.98,2,0,1,4.51,1.59,0
7.06,3,1,5,4.9,5.31,1
7.02,0,2,4,6.75,5.28,1
8.29,1,3,1,4.0,6.49,1
9.0,2,0,0,4.2,3.86,0
7.04,2,3,5,2.34,7.5,1
7.08,1,2,2,6.79,5.16,1
7.81,0,3,2,4.86,8.42,1
7.25,0,5,1,2.97,6.49,1
8.45,1,2,3,7.14,5.56,1
5.25,3,3,2,5.3,2.64,0
6.67,3,3,2,3.91,2.36,1
6.72,1,1,3,7.18,8.2,1
